supplier_id,supplier_name,location,lead_time_days,reliability_score,average_delay_days
S000001,Pro Supply Solutions 1,Pune,3,76.82,11.46
S000002,Eco Supply Solutions 2,Hyderabad,23,68.5,11.89
S000003,Standard Supply Solutions 3,Ahmedabad,8,75.27,10.03
S000004,Industrial Supply Solutions 4,Noida,22,92.43,5.44
S000005,Industrial Supply Solutions 5,Hyderabad,18,81.78,6.66
S000006,Power Supply Solutions 6,Kochi,8,70.83,6.14
S000007,Pro Supply Solutions 7,Noida,16,75.63,2.04
S000008,Standard Supply Solutions 8,Delhi,4,97.42,10.28
S000009,Smart Supply Solutions 9,Coimbatore,22,79.69,8.17
S000010,Pro Supply Solutions 10,Bangalore,11,80.01,7.73
S000011,Premium Supply Solutions 11,Noida,13,70.2,2.8
S000012,NextGen Supply Solutions 12,Kolkata,7,75.35,2.01
S000013,Eco Supply Solutions 13,Noida,13,92.7,10.5
S000014,Eco Supply Solutions 14,Kochi,14,91.73,2.32
S000015,Eco Supply Solutions 15,Jaipur,9,79.81,1.07
S000016,Eco Supply Solutions 16,Noida,30,95.38,7.58
S000017,Premium Supply Solutions 17,Lucknow,10,77.93,8.51
S000018,Ultra Supply Solutions 18,Jaipur,8,94.39,1.61
S000019,Power Supply Solutions 19,Lucknow,18,66.07,2.64
S000020,Industrial Supply Solutions 20,Kolkata,11,76.81,9.51
S000021,Premium Supply Solutions 21,Hyderabad,15,94.07,11.17
S000022,Advanced Supply Solutions 22,Hyderabad,23,95.64,5.82
S000023,Ultra Supply Solutions 23,Noida,5,90.72,9.55
S000024,NextGen Supply Solutions 24,Ahmedabad,17,87.78,3.97
S000025,Eco Supply Solutions 25,Mumbai,3,92.73,8.5
S000026,Standard Supply Solutions 26,Hyderabad,4,89.06,6.78
S000027,Industrial Supply Solutions 27,Coimbatore,5,73.64,10.15
S000028,Power Supply Solutions 28,Jaipur,7,80.85,9.36
S000029,Premium Supply Solutions 29,Kochi,12,87.46,3.55
S000030,Industrial Supply Solutions 30,Delhi,29,84.99,1.96
S000031,Industrial Supply Solutions 31,Bangalore,28,95.09,9.73
S000032,Smart Supply Solutions 32,Chennai,5,81.11,0.59
S000033,Pro Supply Solutions 33,Lucknow,30,71.05,8.21
S000034,Premium Supply Solutions 34,Ahmedabad,20,72.3,5.82
S000035,Power Supply Solutions 35,Kochi,18,93.77,1.09
S000036,Pro Supply Solutions 36,Ahmedabad,25,65.3,8.33
S000037,Power Supply Solutions 37,Ahmedabad,16,94.55,5.9
S000038,Power Supply Solutions 38,Noida,10,66.89,10.35
S000039,Smart Supply Solutions 39,Coimbatore,17,78.32,2.66
S000040,Standard Supply Solutions 40,Kolkata,23,92.21,0.23
S000041,Ultra Supply Solutions 41,Gurgaon,22,78.86,1.74
S000042,Eco Supply Solutions 42,Indore,7,92.96,3.38
S000043,Eco Supply Solutions 43,Pune,29,68.41,7.9
S000044,Advanced Supply Solutions 44,Lucknow,10,82.39,4.48
S000045,Pro Supply Solutions 45,Gurgaon,25,84.8,1.6
S000046,NextGen Supply Solutions 46,Indore,11,95.29,11.78
S000047,Industrial Supply Solutions 47,Ahmedabad,4,68.18,1.48
S000048,Power Supply Solutions 48,Noida,30,76.51,4.39
S000049,Standard Supply Solutions 49,Chennai,19,87.42,10.54
S000050,Eco Supply Solutions 50,Noida,9,98.32,7.9
S000051,Eco Supply Solutions 51,Chennai,3,93.84,3.97
S000052,Ultra Supply Solutions 52,Noida,6,93.78,11.65
S000053,Advanced Supply Solutions 53,Kochi,7,82.58,6.11
S000054,Industrial Supply Solutions 54,Kolkata,28,84.19,0.3
S000055,Industrial Supply Solutions 55,Kolkata,7,94.19,0.27
S000056,Pro Supply Solutions 56,Chennai,7,94.57,11.3
S000057,Premium Supply Solutions 57,Jaipur,26,92.28,3.52
S000058,Ultra Supply Solutions 58,Gurgaon,27,92.83,9.78
S000059,Eco Supply Solutions 59,Ahmedabad,8,94.91,0.71
S000060,Standard Supply Solutions 60,Bangalore,21,68.87,1.93
S000061,NextGen Supply Solutions 61,Mumbai,17,74.95,10.31
S000062,Eco Supply Solutions 62,Bangalore,19,98.19,11.93
S000063,Advanced Supply Solutions 63,Lucknow,11,83.52,0.81
S000064,NextGen Supply Solutions 64,Lucknow,24,71.0,2.18
S000065,Industrial Supply Solutions 65,Mumbai,27,82.1,8.73
S000066,Advanced Supply Solutions 66,Bangalore,23,86.96,6.45
S000067,NextGen Supply Solutions 67,Kochi,28,93.16,4.99
S000068,Advanced Supply Solutions 68,Ahmedabad,6,92.61,2.49
S000069,Pro Supply Solutions 69,Chennai,21,66.67,11.36
S000070,Industrial Supply Solutions 70,Noida,30,80.42,2.23
S000071,Eco Supply Solutions 71,Hyderabad,17,65.7,3.33
S000072,Ultra Supply Solutions 72,Delhi,29,95.2,4.03
S000073,Industrial Supply Solutions 73,Pune,12,70.91,1.84
S000074,Ultra Supply Solutions 74,Indore,28,86.25,6.53
S000075,Standard Supply Solutions 75,Kochi,29,84.4,4.23
S000076,Industrial Supply Solutions 76,Delhi,20,86.27,7.37
S000077,Advanced Supply Solutions 77,Gurgaon,22,84.16,4.54
S000078,Smart Supply Solutions 78,Indore,17,89.33,1.57
S000079,Premium Supply Solutions 79,Coimbatore,11,86.29,10.5
S000080,Standard Supply Solutions 80,Kochi,18,68.07,6.21
S000081,NextGen Supply Solutions 81,Mumbai,29,77.47,4.0
S000082,Industrial Supply Solutions 82,Hyderabad,3,83.58,0.39
S000083,Ultra Supply Solutions 83,Hyderabad,8,76.06,7.25
S000084,Power Supply Solutions 84,Delhi,16,90.85,9.43
S000085,Standard Supply Solutions 85,Delhi,12,75.81,7.87
S000086,Eco Supply Solutions 86,Chennai,20,93.18,9.5
S000087,Pro Supply Solutions 87,Gurgaon,13,69.99,2.03
S000088,Advanced Supply Solutions 88,Pune,21,91.16,11.67
S000089,Eco Supply Solutions 89,Kolkata,5,71.24,2.69
S000090,Power Supply Solutions 90,Hyderabad,12,82.95,3.35
S000091,Industrial Supply Solutions 91,Delhi,22,75.9,6.25
S000092,Power Supply Solutions 92,Coimbatore,16,86.67,0.26
S000093,Power Supply Solutions 93,Gurgaon,22,72.23,5.42
S000094,Advanced Supply Solutions 94,Hyderabad,20,92.04,2.51
S000095,Power Supply Solutions 95,Lucknow,12,84.5,9.04
S000096,Smart Supply Solutions 96,Lucknow,14,97.55,9.14
S000097,Smart Supply Solutions 97,Coimbatore,30,89.2,7.47
S000098,Standard Supply Solutions 98,Delhi,29,85.65,5.18
S000099,Standard Supply Solutions 99,Noida,3,93.19,3.86
S000100,Ultra Supply Solutions 100,Coimbatore,22,72.47,9.96
S000101,Power Supply Solutions 101,Lucknow,16,86.51,6.18
S000102,Ultra Supply Solutions 102,Hyderabad,3,78.27,6.06
S000103,Power Supply Solutions 103,Indore,20,90.29,1.54
S000104,Pro Supply Solutions 104,Kolkata,3,65.83,2.78
S000105,Eco Supply Solutions 105,Ahmedabad,11,79.54,4.45
S000106,Eco Supply Solutions 106,Gurgaon,22,87.16,8.45
S000107,Eco Supply Solutions 107,Kochi,25,80.66,10.17
S000108,Standard Supply Solutions 108,Mumbai,14,73.09,11.92
S000109,Industrial Supply Solutions 109,Gurgaon,25,80.79,5.24
S000110,Eco Supply Solutions 110,Lucknow,26,93.89,5.55
S000111,Smart Supply Solutions 111,Gurgaon,15,72.03,9.24
S000112,Eco Supply Solutions 112,Chennai,7,77.48,3.99
S000113,Premium Supply Solutions 113,Bangalore,21,98.67,6.58
S000114,Industrial Supply Solutions 114,Gurgaon,3,96.04,8.19
S000115,Premium Supply Solutions 115,Jaipur,28,66.15,2.99
S000116,Premium Supply Solutions 116,Gurgaon,13,83.03,3.5
S000117,Pro Supply Solutions 117,Coimbatore,24,67.22,4.4
S000118,Ultra Supply Solutions 118,Noida,23,96.41,7.02
S000119,Smart Supply Solutions 119,Ahmedabad,16,80.01,3.39
